timestamp,Left_Heel,Left_Middle,Left_Top
1736322831.410816,1469,0,2203
1736322831.4704819,0,1898,1616
1736322831.5306294,1277,0,3393
1736322831.5935783,4095,2544,97
1736322831.7101333,4095,0,3753
1736322831.7712798,0,3311,2309
1736322831.8335524,0,3649,219
1736322831.8911495,4095,3530,0
1736322831.956608,4095,0,3583
1736322832.0229623,4095,321,3563
1736322832.0714066,0,3459,214
1736322832.1297514,2975,0,3717
1736322832.194864,4095,3333,13
1736322832.2564344,4095,0,0
1736322832.313442,685,0,3366
1736322832.3731923,0,3583,256
1736322832.4397488,0,3621,159
1736322832.4943707,4095,0,1358
1736322832.5548568,4095,0,3809
1736322832.6147523,591,1040,475
1736322832.6759639,4095,2685,0
1736322832.7342076,4095,1865,0
1736322832.7937095,4095,422,0
1736322832.862027,3539,3151,202
1736322832.972793,4095,3321,51
1736322833.030762,944,3245,212
1736322833.096456,0,4095,0
1736322833.1589196,1565,3127,191
1736322833.2146208,4095,0,3684
1736322833.2730021,4095,0,3070
1736322833.336204,1107,2631,97
1736322833.3943336,4095,0,3823
1736322833.4582474,0,1377,2277
1736322833.5169413,0,3213,982
1736322833.5763626,4095,2877,21
1736322833.633344,3120,3248,215
1736322833.69301,1853,3342,221
1736322833.7542386,4095,0,3423
1736322833.8133836,4095,0,645
1736322833.8736148,231,3311,205
1736322833.929899,1023,3101,185
1736322834.0571291,4095,0,3477
1736322834.1147435,3476,3246,234
1736322834.1755338,4095,3301,37
1736322834.2339098,1769,3350,222
1736322834.29032,4095,0,3701
1736322834.4144654,2918,3560,197
1736322834.4745703,0,3579,231
1736322834.529816,3856,0,3569
1736322834.5899112,198,0,2588
1736322834.656762,4095,3293,64
1736322834.838261,4095,1310,0
1736322834.8950164,3894,258,1649
1736322834.9561691,0,2559,4095
1736322835.0170023,4095,325,811
1736322835.0747912,4095,0,2820
1736322835.132864,4095,190,1849
1736322835.136418,4095,3338,0
1736322835.2561243,0,1946,4095
1736322835.3110037,4095,0,3642
1736322835.3738515,4095,3263,23
1736322835.4357224,4095,2797,98
1736322835.492888,4095,0,3534
1736322835.5583186,4095,511,0
1736322835.6145973,4095,1585,0
1736322835.673714,2749,0,2877
1736322835.7407799,1889,439,0
1736322835.8555236,3183,0,2593
1736322835.9160182,223,1295,0
1736322835.9692304,1335,0,250
1736322836.0359855,1139,495,74
1736322836.094614,1761,0,1524
1736322836.1569903,51,1178,0
1736322836.2103934,737,0,219
1736322836.269962,13,320,0
1736322836.337142,784,0,847
1736322836.3963273,70,1232,0
1736322836.4563544,389,0,163
1736322836.5165632,0,617,9
1736322836.5765626,874,0,955
1736322836.6366584,30,1566,0
1736322836.6966958,538,0,733
1736322836.7569852,41,426,112
1736322836.8165262,0,223,170
1736322836.8765137,122,511,100
1736322836.9364421,0,192,338
1736322836.9966154,100,245,126
1736322837.0560248,0,227,236
1736322837.116563,87,224,106
1736322837.177012,0,114,384
1736322837.2365406,67,0,194
1736322837.2963672,0,319,129
1736322837.3561163,73,0,311
1736322837.4772344,0,194,135
1736322837.5367513,0,0,245
1736322837.5960467,0,271,151
1736322837.6554089,113,0,437
1736322837.7080934,0,528,105
1736322837.768672,73,0,350
1736322837.8268602,0,201,214
